,file_name,check_point,angry,disgust,fear,happy,neutral,sad,surprise,True,Pred
1,040-298.m2ts,61,0.04033582881093025,0.009272129884144912,0.0664450744787852,0.002872926465352066,0.04226270741783082,0.010900748567655683,0.8279105663299561,angry,surprise
2,080-282.m2ts,76,0.15516015862425167,0.18241581370433171,0.09205125235021114,0.13028150958319504,0.27670603394508364,0.016157230393340192,0.14722799248993396,angry,neutral
3,006-254.m2ts,106,0.10555109922729787,0.030281528276169582,0.09754636653122448,0.06605619832962042,0.05284789630344936,0.07264849831837983,0.5750684071154821,angry,surprise
4,050-268.m2ts,91,0.04179310440991281,0.02350672758216711,0.1804611541123854,0.05266369086489754,0.06924195242269586,0.08928014702784519,0.5430532147487005,angry,surprise
5,083-276.m2ts,76,0.23206161037087442,0.3098548111816247,0.14292825553566219,0.08709673338453286,0.020228154760601077,0.12311666901223361,0.08471375048150852,angry,disgust
6,044-260.m2ts,91,0.13590646845599016,0.3125838604238298,0.07870670242442025,0.052311151986941695,0.021565514215682115,0.37494758557942176,0.023978727041847177,angry,sad
7,079-256.m2ts,91,0.18168395850807428,0.19219546069184112,0.17081879656244484,0.14736805613049203,0.05923625191725376,0.07709493710555965,0.17160255805356428,angry,disgust
8,015-284.m2ts,106,0.05785845534964686,0.07989675658089775,0.35602116407383055,0.013713738196418575,0.10175662816895749,0.2956514374486038,0.09510182605923287,angry,fear
9,015-282.m2ts,106,0.03260623220176924,0.20730661512130782,0.3003673404455185,0.0016815156555995124,0.014809460531631928,0.4391961856966927,0.004032649171893441,angry,sad
10,069-265.m2ts,121,0.4778409404680133,0.26111919215569895,0.09069717559032142,0.037610594901101045,0.024175729156316567,0.029606231430079788,0.07895015335088829,angry,angry
11,000-275.m2ts,151,0.03335355951761206,0.062010441922272244,0.17241692927976449,0.043195057303334276,0.23304321163644393,0.37618691272412735,0.07979388260282576,angry,sad
12,034-281.m2ts,106,0.3173637744926271,0.19246084770808616,0.09019897166373474,0.02907264667529879,0.13679698900835188,0.20635821834383977,0.027748535880597218,angry,angry
13,043-300.m2ts,91,0.2930218291779359,0.28748953839143115,0.12213079672720697,0.05069096484738919,0.007634575407589889,0.2209642506721947,0.018068040455950216,angry,angry
14,073-268.m2ts,76,0.26677421350032093,0.35964419891436894,0.07174392951031526,0.0165007082434992,0.011947544413851574,0.2282765304048856,0.045112884366729604,angry,disgust
15,093-285.m2ts,76,0.35843208730220794,0.4133055031299591,0.08358427037795385,0.06251324008529385,0.0037406728758166232,0.05658851340413094,0.021835710449765126,angry,disgust
16,086-286.m2ts,61,0.10008648099998634,0.10975227943466355,0.11093361054857571,0.06645734953538825,0.014949660010946294,0.055771976398924984,0.54204863589257,angry,surprise
17,068-298.m2ts,76,0.15606133118271828,0.1380019328246514,0.17625425457954408,0.014151256221036116,0.005118526192381978,0.036963897136350475,0.47344880402088163,angry,surprise
18,056-267.m2ts,106,0.4062534783567701,0.18814351835421153,0.10061105602376517,0.01903732563368976,0.028968364917784043,0.060174602039513136,0.19681165441094586,angry,angry
19,060-285.m2ts,106,0.14990475822594904,0.3136868972686075,0.058664833284204916,0.368269642504553,0.00586047847450356,0.10127683742237943,0.002336532032738129,angry,happy
20,063-268.m2ts,91,0.08053404030700524,0.4670079118675656,0.14042964888115725,0.0035506849461752507,0.02497040206152532,0.09752853494137526,0.18597878163887394,angry,disgust
